r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
90.0,0.0,175.0,116400.0,9.689978320101707,8.86606101478663,10.588108454555535,5.984416980179474,16.926487312531307,0.495431199392506,116402.1164021164,327.56174745589743,926.4845315335217,6.0993229245709735,116402.1164021164,2.1786098889818883,2.1786098889818883,-0.676801413714406,4.5181457080638685,135.13275000000002
90.0,0.0,175.0,116500.0,9.648715097238728,8.69303232466631,10.56339007025263,6.42548739047331,18.174022824929327,0.504002421285685,116525.42372881356,351.83433666570244,995.1377812423559,6.753757847434378,116587.17541070483,2.343514580911512,2.343514580911512,-0.7506632211330544,4.7069036603559695,140.7735
90.0,0.0,175.0,116600.0,9.655689801342863,8.709511247534913,10.56339007025263,6.437191082239735,18.20712586418115,0.09507326761013743,116587.17541070483,352.22976202138454,996.2562130441795,5.579072203047223,116550.11655011655,2.3902732084412617,2.3902732084412617,-0.7178357511692106,4.7397311303198135,140.283
90.0,0.0,175.0,116700.0,9.606121201354108,8.824863707615126,10.596347915989835,6.915267013192205,19.559328794975404,0.10551578940981939,116710.87533156498,379.1435623014496,1072.3799357863172,5.9246539097633555,116686.11435239206,2.5584360267647965,2.5584360267647965,-0.7342494861511326,5.388073662105728,147.6405
90.0,0.0,175.0,116800.0,9.580146299182475,8.69303232466631,10.538671685949728,7.411123504216572,20.961822744170192,0.49920721527527084,116896.91817215728,407.3367287480267,1152.1222524963,-1.9254348955149216,116834.8380244291,2.809623620060638,2.809623620060638,-0.7096288836782496,5.609659084361674,153.5265
90.0,0.0,175.0,116900.0,9.527335471119324,8.75894801614072,10.621066300292735,7.988595835094831,22.59516114861666,0.07673619932989578,116959.06432748538,439.47463887587065,1243.0219892345492,6.2629316552868275,116959.06432748538,3.022731348198421,3.022731348198421,-0.7424563536420935,6.10207113381933,162.3555
90.0,0.0,175.0,117000.0,9.515190504965165,8.709511247534913,10.546911147384028,7.976174570006938,22.560028505518403,0.06917581354692595,116959.06432748538,438.4719933820632,1240.1860795233597,6.109965839451728,116959.06432748538,2.999510016632747,2.999510016632747,-0.7260426186601716,6.446759568439689,161.61975
90.0,0.0,175.0,117100.0,9.462379676902012,8.78366640044362,10.522192763081126,8.56278376096583,24.219209852851954,0.07076307686047782,117083.5550824907,471.0058868353295,1332.2058262401804,6.904428132608911,117096.01873536299,3.2570456219328467,3.2570456219328467,-0.7424563536420935,6.569862580804103,170.694
90.0,0.0,175.0,117200.0,9.407579018902478,8.734229631837815,10.480995455909621,9.130585966576318,25.82519701269137,0.08279286197371138,117208.31113478956,503.0210517753764,1422.7583871598324,6.112887423928794,117233.29425556859,3.5320987858924027,3.5320987858924027,-0.7752838236059373,7.168963907644251,178.0515
90.0,0.0,175.0,117300.0,9.421993956681787,8.78366640044362,10.497474378778222,9.123108651075144,25.804047970707565,0.059911208206248116,117333.33333333333,502.2179682131771,1420.48692382907,6.751879685984833,117233.29425556859,3.559755929336941,3.559755929336941,-0.7096288836782496,7.111515835207525,177.80625
90.0,0.0,175.0,117400.0,9.365289983090927,8.701271786100612,10.480995455909621,9.665922604991007,27.33935768165392,0.5264246040939622,117395.94450373531,532.0997515565765,1505.00537037333,-3.036680419828587,117395.94450373531,3.7756047512167044,3.7756047512167044,-0.7424563536420935,7.612134752156142,185.16375000000002
90.0,0.0,175.0,117500.0,9.31037397263131,8.684792863232008,10.266769458617794,10.070065537384268,28.482446513909487,0.5179118603228612,117521.36752136752,555.9034038205522,1572.3322661047848,-3.1510395836452734,117458.6225306994,3.949237446722965,3.949237446722965,-0.7506632211330544,8.104546801613798,190.31400000000002
90.0,0.0,175.0,117600.0,9.277547958277056,8.676553401797708,10.184374844274785,10.233649147515385,28.94513083396824,0.04030432927516526,117647.05882352941,565.1124385609737,1598.379349757323,-5.522948809814116,117647.05882352941,3.9941659428022307,3.9941659428022307,-0.7752838236059373,12.158739342148504,191.29500000000002
90.0,0.0,175.0,117700.0,9.28793379941499,8.643595556060506,10.176135382840485,10.229964710813219,28.934709673260425,0.0482072297731646,117647.05882352941,565.0323128216277,1598.1527199427662,-5.893781353796343,117716.30370806357,4.0560867580215305,4.0560867580215305,-0.7260426186601716,8.47385583870704,189.57825
90.0,0.0,175.0,117800.0,9.285375446639643,8.684792863232008,10.110219691366078,10.292682844005515,29.11210334239496,0.05342849067300534,117773.01927194861,569.2377947297,1610.0476190441875,6.967659568076906,117785.63015312131,4.085762790868846,4.085762790868846,-0.7096288836782496,8.235856681469173,190.55925000000002
90.0,0.0,175.0,117900.0,9.288077989990091,8.651835017494806,10.291487842920699,10.148082238628346,28.703111067891456,0.06944314210499777,117899.24973204717,561.8598025352762,1589.1795057953136,-4.943222975721467,117924.52830188679,4.017859169248635,4.017859169248635,-0.7014220161872887,8.19482234401437,188.352
90.0,0.0,175.0,118000.0,9.315873813138705,8.701271786100612,10.349164072960805,9.92265596104182,28.06550926973516,0.10434622696825509,118152.52416756176,550.8762494148081,1558.1133262232906,5.688422936331804,118063.75442739078,3.902852231664054,3.902852231664054,-0.7096288836782496,8.219442946487252,185.16375000000002
90.0,0.0,175.0,118100.0,9.319190196366012,8.660074478929106,10.332685150092203,9.923462013555909,28.06778913052998,0.09540742830772735,118025.75107296137,549.9231015421315,1555.417416926318,-4.101806646325657,118063.75442739078,3.9010467208160424,3.9010467208160424,-0.7588700886240153,7.94040945179458,184.91850000000002
90.0,0.0,175.0,118200.0,9.378918052303261,8.76718747757502,10.530432224515426,9.485458435822249,26.82892793053222,0.44854845352065353,118216.01289629232,526.310323777635,1488.6303958066126,-1.6612401849456984,118216.01289629232,3.7069912355585255,3.7069912355585255,-0.6932151486963278,11.182122110724151,177.80625
90.0,0.0,175.0,118300.0,9.425829425979453,8.78366640044362,10.604587377424135,8.899617023243481,25.17191818839481,0.4239542261780424,118279.56989247311,495.10088711514965,1400.356778602391,6.4974931518743375,118343.19526627219,3.4956110530275906,3.4956110530275906,-0.676801413714406,7.168963907644251,170.694
90.0,0.0,175.0,118400.0,9.438015589440784,8.750708554706417,10.63754522316134,8.92573841489994,25.245800641092053,0.12487204781771001,118343.19526627219,495.7524455914674,1402.1996642701663,5.230777596459524,118413.26228537595,3.447202845132157,3.447202845132157,-0.7506632211330544,10.082401866935385,170.44875000000002
90.0,0.0,175.0,118500.0,9.495770094364516,8.890779399089533,10.629305761727037,8.319392217896771,23.530794610501598,0.16769474121384598,118470.65158858374,462.4241865611924,1307.9331124083694,-2.0614972583041347,118470.65158858374,3.1828514363808145,3.1828514363808145,-0.6850082812053669,6.816068605532931,164.07225000000003
90.0,0.0,175.0,118600.0,9.526907019124739,8.899018860523833,10.794094990413058,7.726375143689364,21.85348903237574,0.39661152709775516,118534.4827586207,429.7939157506942,1215.6407693601425,4.6214185483851775,118662.35167206042,2.955131380675376,2.955131380675376,-0.7096288836782496,7.636755354629026,156.22425
90.0,0.0,175.0,118700.0,9.587417623898245,8.981413474866844,10.752897683241553,7.154712142361959,20.23658189320749,0.204235213495293,118790.49676025918,398.8464152586402,1128.1080195253207,-1.9440078254048603,118726.38963842417,2.710652901553395,2.710652901553395,-0.676801413714406,5.552211011924947,148.6215
90.0,0.0,175.0,118800.0,9.594899054880592,8.997892397735447,10.678742530332844,7.159836941351569,20.251077013678575,0.39654469495823713,118790.49676025918,398.54297485658066,1127.2497604613916,4.413359996696783,118726.38963842417,2.69835491061819,2.69835491061819,-0.652180811241523,5.601452216870713,148.86675
90.0,0.0,175.0,118900.0,9.615753131770806,8.997892397735447,10.695221453201446,6.632075428242399,18.75834203460351,0.34796608354611647,118918.91891891892,370.38834328618856,1047.6164368404593,0.47193385252550796,118983.23418063817,2.5363800703828394,2.5363800703828394,-0.676801413714406,5.0926264324311346,142.24499999999998
90.0,0.0,175.0,119000.0,9.663224788824532,9.080287012078456,10.695221453201446,6.167405186692438,17.444056119341234,0.2207511059736703,119047.61904761905,343.8753247941724,972.6262961787434,-0.4907282326686509,119047.61904761905,2.3050243723789046,2.3050243723789046,-0.676801413714406,4.649455587919244,136.8495
90.0,0.0,175.0,119100.0,9.653139688028949,9.063808089209854,10.56339007025263,6.162527293239265,17.430259353186656,0.21982381003785856,118983.23418063817,343.8469958187752,972.5461697363137,0.007819289882583689,119047.61904761905,2.317580879640075,2.317580879640075,-0.6275602087686404,4.682283057883087,136.8495
